FBgn,Y_true,Y_pred
FBgn0032042,1.27328305544264,2.343224196491339
FBgn0053136,-3.56819692235833,0.08292139016206357
FBgn0029778,2.47921879624072,0.7838772625620347
FBgn0039381,1.13534510722613,3.497095195503395
FBgn0050100,2.87971750796119,0.8960810503114056
FBgn0039344,-2.65330636668098,0.3737636182744237
FBgn0027620,3.41117358676804,3.841266231055835
FBgn0032053,4.249190336129771,1.1451978307747008
FBgn0030659,3.2388655719112904,1.7500072673879048
FBgn0010342,3.93840406496012,1.0152274335494431
FBgn0011674,0.663635204722028,1.3918735865060095
FBgn0010877,2.7948565070662097,2.8119031226802216
FBgn0033989,3.11014989700259,2.637496273096545
FBgn0034936,3.74973464346528,1.3557359932519508
FBgn0259168,1.11947823932447,2.5591388515001094
FBgn0035425,3.7097252625975603,2.5961975160890605
FBgn0086758,0.9824904349846229,1.7501384485144047
FBgn0020370,2.6242458941432796,3.2662077548349813
FBgn0026261,3.92199563306244,0.49776250537421163
FBgn0037215,3.2972262004321404,2.0299690657273697
FBgn0003169,3.1367321993114,2.9554555095083472
FBgn0036964,3.09230433866423,-0.08789291178513303
FBgn0031195,1.4015172773338402,0.19860223764686236
FBgn0038674,-0.0627220386080287,0.013748463619078999
FBgn0051065,-1.1570001638683898,0.3044178537318747
FBgn0037305,4.55941269860224,3.672337649629762
FBgn0034052,-1.3646757366862898,0.4383169013838297
FBgn0035888,0.719759899784674,0.44226243476002225
FBgn0264712,2.21018685104711,1.6196252075958497
FBgn0039503,0.76745006228899,1.6471316718653024
FBgn0030837,-1.7324166096945102,0.4492969725641607
FBgn0031764,3.49368907052261,1.1493364581608028
FBgn0003261,3.5111818366661103,3.5054208918617635
FBgn0030151,3.14405787335415,1.564485950462561
FBgn0027279,1.43265199766292,2.49514017702399
FBgn0039751,2.28772822424646,0.6732948299285524
FBgn0000077,2.3378726728554,1.7727662950464689
FBgn0010380,4.76084913883957,1.6949227446125315
FBgn0050424,-2.29343830271493,1.9382472535672575
FBgn0038166,4.04216858013475,1.3670550700018986
FBgn0039379,3.2817763114093195,2.1513545378241026
FBgn0027538,2.12036459109387,0.9822244909266997
FBgn0036423,1.17665808075531,2.9468624007709336
FBgn0032018,3.3037698167793597,1.268411901574936
FBgn0038653,-3.3133513530910896,0.2974307063828927
FBgn0036258,5.39112677657803,2.3865120781427853
FBgn0030975,-3.4589191894728,0.23835278792111736
FBgn0029975,5.23888653625387,3.0713271569168867
FBgn0266100,-4.371066912437549,0.05505869776634764
FBgn0036030,-0.267598656693661,1.5732223460666719
FBgn0052260,-3.6668146815165197,-0.12344498828593031
FBgn0014184,4.32209038017517,3.246204597637594
FBgn0261434,-2.7399434259892796,0.023460647018611613
FBgn0038766,1.49716534124221,0.2646852883048203
FBgn0031824,3.0308631201702703,0.6211203241692899
FBgn0030457,2.58045527338457,2.4174756985918284
FBgn0034527,2.2239691753047497,2.6997480959159943
FBgn0036463,1.7690413560301497,2.1471835097925696
FBgn0052000,0.278766614266461,2.092490318111329
FBgn0039213,2.89528539765313,2.8678310096569484
FBgn0020414,5.02148963287777,2.899706231520349
FBgn0032857,-3.1405692387665702,1.650616434114498
FBgn0040009,1.53973820190957,-0.8193941731645245
FBgn0037358,4.05886978229225,2.9231750901019713
FBgn0030559,-2.3713565604212596,-0.14465595099000783
FBgn0038115,-0.901924423245008,1.4290518363888605
FBgn0030873,3.07643683715257,0.8876489898140616
FBgn0004419,3.2297825101498403,2.672194531920244
FBgn0036512,3.16002868239896,-0.544624391994688
FBgn0020521,-4.35451847725728,-0.27031612575326447
FBgn0250911,3.19394448578493,2.564325783531335
FBgn0038080,4.60508245213959,1.4715922784375268
FBgn0040512,4.32312637749936,0.999762074132178
FBgn0003517,7.83601518890104,2.071139120469958
FBgn0061476,3.2259223794844902,0.86932280417532
FBgn0261989,-0.78733204377056,-0.17202674410410657
FBgn0036195,-3.42322828973298,0.10501789363077707
FBgn0031607,4.35996254043786,3.4046810699032206
FBgn0033578,-2.63944340413244,0.07002965361673064
FBgn0035900,2.2659105795213796,2.0165409447640954
FBgn0000490,-0.43822961250166903,1.2352492100551735
FBgn0036819,0.580614198597054,2.465877337516144
FBgn0053267,0.542445795071329,0.15638657877921092
FBgn0038744,-2.3959196007243397,1.70177047172182
FBgn0034219,3.58772770803572,1.4082814719910237
FBgn0035867,3.38940534474236,1.3094591221155405
FBgn0030569,-3.6604475001197003,-0.09860658254881671
FBgn0034795,2.6560245333315695,1.326505570709481
FBgn0036155,-0.042802600459252,1.6678407167201375
FBgn0035617,1.59678034231343,1.4568163695113685
FBgn0020443,3.05084939808816,2.4672772421825715
FBgn0030506,2.83875226996241,0.5858549406177564
FBgn0086134,5.61814453951791,2.115742505667514
FBgn0032848,3.4617929128593796,2.402508438328222
FBgn0259935,-1.0042589301076301,0.6235144882037866
FBgn0261987,-3.33870157043661,2.0439047215613453
FBgn0014464,-1.45387109294897,-0.5305433179433012
FBgn0261802,0.32314321415263697,2.3191044207465383
FBgn0267252,-1.53954344750469,0.01744882057302788
FBgn0020224,2.27449094736914,1.3608580172140603
FBgn0032816,2.6480727646078397,1.8218941442644154
