HP1a,HP1B,HP1C,FBgn,A_B,A_C,B_C,A_B_C,log_TPM
0,0,0,FBgn0031081,0,0,0,0,-4.22682507863907
0.28765276655,0.30916422,0.4664633,FBgn0053217,0.0889319432012728,0.134179458739043,0.144213762303126,0.0414834877010783,2.18038762806643
0.0001227665,0.10844224,-0.011542735,FBgn0040372,1.331307425696e-05,-1.4170611763775e-06,-0.0012517200391264,-1.53669288183411e-07,0.541914323079138
-0.02039863,0.2123261,0.34640905,FBgn0000316,-0.004331161553243,-0.0070662700396015,0.073551682591205,-0.00150035355905543,1.87059564163826
0.072372855,0.232214665,0.303343515,FBgn0024989,0.0168060382789186,0.0219538362262853,0.0704408127156475,0.00509800272475171,0.403591554101436
-0.162516852,-0.061290095,-0.135608735,FBgn0004034,0.00996067329818094,0.0220387047159022,0.00831147225097983,-0.0013507543057146,0.0500969290278191
-0.1945483055,-0.1988274605,-0.25147713,FBgn0002561,0.0386815455271432,0.0489244495135032,0.0500005591317284,-0.0097275240531303,-1.1248489802351
0.1277387,0.059775671,0.167202017,FBgn0029522,0.0076356665051677,0.0213581682889579,0.00999461275872841,0.00127669884080338,1.6427264495881
0.123319226,-0.002923449,-0.0393708005,FBgn0052817,-0.000360517467930474,-0.00485517664466041,0.000115098527350924,1.41938613066558e-05,0.925439025009425
0.089432005,-0.01864457,-0.05967422,FBgn0029524,-0.00166742127746285,-0.0053367851414111,0.0011126001719854,9.95020641439992e-05,1.87074265426721
0.140905505,0.34190591,0.59215555,FBgn0023536,0.0481764249110345,0.0834379768113027,0.2024614821843,0.0285279373902274,1.84919627024062
0.281755455,0.469965535,0.6300103,FBgn0023534,0.132415353148243,0.177508838731187,0.29608312769501,0.0834230363615308,-1.43664389046748
0.087585,-0.114354473,-0.020902545,FBgn0023535,-0.010015736517705,-0.001830749403825,0.00239029951783379,0.000209354383269472,4.09123751534718
0.0796336488,0.125352295,0.11402369,FBgn0000108,0.009982260636304,0.00908012248434007,0.0142931312258686,0.00113821419229313,-2.71001212441575
0.086618287,-0.060112965,-0.060761112,FBgn0025640,-0.00520688205479096,-0.00526302343765514,0.00365253059901708,0.000316375943701943,3.82776507785144
0.1068796,-0.089994845,-0.035045435,FBgn0025635,-0.009618613035662,-0.003745642074626,0.00315390849078258,0.000337088477931445,1.07655480108416
0.038612925,0.04232788,0.096393729,FBgn0001341,0.001634403255849,0.00372204382834732,0.00408014219386452,0.000157546224521026,2.32829362838444
-0.123083245,-0.014949855,-0.0420753045,FBgn0003575,0.00184007666567947,0.0051787650122231,0.000629019701355847,-7.74217860118086e-05,1.47660814028303
-0.061233445,-0.0491082845,-0.08277545,FBgn0025634,0.0030070694379751,0.00506862596492525,0.00406496034821553,-0.000248911525909636,3.5032903396633
-0.074755745,0.09062436,0.21125158,FBgn0025638,-0.0067746915469482,-0.0157922692453271,0.0191445392364888,-0.00143116429330545,4.24280913291819
0.048737383,0.104762511,0.066096345,FBgn0040383,0.00510585062264871,0.00322136288116513,0.0069244190701223,0.000337478064273054,3.5437776098061
0.19221723,0.1529332725,0.2465801435,FBgn0040382,0.0293964100147852,0.0473969521565725,0.0377103082789746,0.00724857099983056,1.99998325000755
0.071506105,0.01572339,0.093040915,FBgn0027343,0.00112431837629595,0.00665299343728607,0.00146291859250185,0.000104607610481889,-0.587647574575627
0.20487505,-0.09635282,-0.03205466,FBgn0025621,-0.019740288815141,-0.006567200070233,0.0030885568851412,0.000632768246271148,2.60322626368275
0.026829705,-0.0686105,-0.025731915,FBgn0029539,-0.0018407994749025,-0.000690379688535075,0.0017654795541075,4.73672956202358e-05,-1.79083389770156
0.063740175,0.06153105,0.07547303,FBgn0040339,0.00392199989493375,0.00481066413998025,0.0046439347825815,0.000296005215730332,4.04520245237705
